title,text,subject,source,date,label
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,CNN,2022-06-20,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,tech,Unknown Blog,2022-04-04,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,Reuters,2020-01-27,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,economy,Reuters,2021-05-18,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2021-11-26,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,politics,Unknown Blog,2021-02-01,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2020-10-24,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy exclusive details inside.,tech,Unknown Blog,2022-07-05,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,health,BBC,2021-02-13,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,health,BBC,2020-10-26,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,tech,NY Times,2021-06-07,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,politics,Unknown Blog,2022-01-16,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed amazing details inside.,tech,Unknown Blog,2021-10-15,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,Reuters,2021-07-03,0
Economic Growth Increases by 3% This Quarter,Economic Growth Increases by 3% This Quarter official statement released.,politics,BBC,2022-07-04,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,tech,Unknown Blog,2021-02-09,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,tech,Reuters,2020-10-04,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,economy,Unknown Blog,2021-04-02,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,Reuters,2020-08-14,0
Hidden Agenda Revealed,Hidden Agenda Revealed shocking details inside.,politics,Unknown Blog,2020-10-31,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2020-05-16,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-09-18,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,world,Reuters,2021-10-18,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,health,Unknown Blog,2022-01-22,1
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2022-01-19,1
Shocking Truth About Government Policy,Shocking Truth About Government Policy breaking details inside.,economy,Unknown Blog,2021-11-15,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,Reuters,2021-10-28,0
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,politics,Reuters,2020-06-10,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,world,Unknown Blog,2020-08-26,1
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,CNN,2021-12-10,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,tech,Unknown Blog,2021-07-01,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed exclusive details inside.,economy,Unknown Blog,2022-07-30,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,tech,BBC,2022-04-27,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,economy,NY Times,2021-08-22,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe breaking details inside.,health,Unknown Blog,2020-09-16,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,economy,BBC,2022-05-26,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics breaking details inside.,world,Unknown Blog,2022-04-12,1
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics exclusive details inside.,health,Unknown Blog,2021-02-10,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,health,BBC,2020-08-25,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,economy,Unknown Blog,2020-04-08,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,BBC,2020-10-20,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe amazing details inside.,politics,Unknown Blog,2021-03-01,1
Tech Company Launches New Smartphone,Tech Company Launches New Smartphone official statement released.,world,NY Times,2021-06-03,0
Healthcare Policy Debate Continues in Senate,Healthcare Policy Debate Continues in Senate official statement released.,health,BBC,2020-06-03,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy shocking details inside.,tech,Unknown Blog,2021-02-16,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed breaking details inside.,world,Unknown Blog,2022-08-19,1
Breaking: Secret Plan Exposed,Breaking: Secret Plan Exposed shocking details inside.,world,Unknown Blog,2020-01-12,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,politics,CNN,2020-09-12,0
Massive Scandal Rocks Politics,Massive Scandal Rocks Politics shocking details inside.,health,Unknown Blog,2020-05-21,1
Government Passes New Education Reform Bill,Government Passes New Education Reform Bill official statement released.,health,CNN,2020-11-29,0
Exclusive Report You Won't Believe,Exclusive Report You Won't Believe exclusive details inside.,health,Unknown Blog,2021-10-31,1
International Leaders Meet for Climate Summit,International Leaders Meet for Climate Summit official statement released.,world,NY Times,2020-03-19,0
Shocking Truth About Government Policy,Shocking Truth About Government Policy amazing details inside.,world,Unknown Blog,2020-06-05,1
